PMID,ORGANISME
32337113,Internal Medicine
32132521,Department of Respiration # College of Humanities and Social Sciences # School of Health Sciences
32141569,School of Medicine
32389849,Department of Pediatric Infection and Gastroenterology # Department of Anesthesiology # Department of Pediatric Pneumology
32774178,Department of Biology # Department of Biochemistry # Department of biology
32070465,Santé publique France # Agence Régionale de Santé Ile # Agence Régionale de Santé Nouvelle # Centre National de Référence des virus des infections respiratoires # AP # Centre Hospitalier Universitaire de Bordeaux # UMR 1219 # Université de Paris # Direction Générale de la Santé # The members of the investigation team are listed at the end of the article.
32348588,Unit of Anaesthesia # Department of Anaesthesia # Geriatrics
32340833,Medical Research Unit # Division of Infectious Diseases # Department of Family Medicine # Department of Pulmonology and Respiratory Medicine # School of Medicine # Siem Reap Provincial Health Department # Department of Microbiology and Parasitology # Department of Epidemiology
32744561,Camille Vellas
32096567,Department of Plastic Surgery # Department of Medicine
32134278,Research unit for Plant # Department of Pharmacognosy and Pharmaceutical Botany # Department of Biochemistry
32147496,Unité des Virus Emergents
32234466,Institute of Cardiovascular Disease # Institute of Clinical Medicine
32609256,Universidade de São Paulo
32190290,1School of Biomedical Sciences # 2Department of Microbiology
32188753,Department of Microbiology and Immunology
32473642,Division of Surgery # Division of Pathology # Department of Veterinary Microbiology and Immunology # Division of Epidemiology # Department of Microbiology # Semillero de Zoonosis # Public Health and Infection Research Group # Faculty of Medicine # Department of Infectious Diseases
32292590,Shahid Beheshti University of Medical Sciences # Tehran University of Medical Sciences
32283152,National Clinical Research Center for Child Health
32052514,Institute of Tropical Medicine # Vietnamese German Center for Medical Research # Faculty of Medicine
32104915,Department of Histology and Embryology # Institute of Acupuncture and Moxibustion # Neural Architecture
32238757,Center for Convergent Research of Emerging Virus Infection # Bioenvironmental Science and Toxicology Division # Korea Zoonosis Research Institute and Genetic Engineering Research Institute
32169119,Guangdong Provincial Key Laboratory of Biomedical Imaging and Guangdong Provincial # Department of Cardiothoracic Surgery # Center of Infectious Disease # Department of Otolaryngology # Center for Interventional Medicine
32272396,Cellular and Molecular Research Center
32166607,Department of Pediatrics and Infectious Disease
32315723,State Key Laboratory for Diagnosis and Treatment of Infectious Diseases # Department of Neurosurgery
32298767,National Clinical Research Center for Infectious Diseases # School of Public Health
32202343,Department of Medical Epidemiology and Biostatistics # Department of Paediatrics # Division of Epidemiology and Public Health # Department of Medicine
32617354,Imperial College School of Medicine # University of Benin Teaching Hospital (UBTH) # Department of Medicine # Department of Paediatrics # Paediatric Infectious Diseases Research Group
32226003,Servicio de Pediatría # Servicio de Parasitología y Micología
32352836,Centre Hospitalier Intercommunal Poissy/Saint # University of Insubria # Bolzano Central Hospital # Macerata Hospital # Scripps Memorial Hospital # University Hospital of Pisa # Brighton and Sussex University Hospitals NHS Trust # San Giovanni Decollato # University Hospital of Verona # Bufalini Hospital # University Hospital of Parma
32570023,Department of Biology
32147628,Department of Pharmacology # Department of Pathology
32798514,Department of Hematology and Blood Banking # College of Medicine and Health # Pediatric Congenital Hematologic Disorders Research Center
32531620,Cohen Children's Medical Center
32394467,Department of Immunology # Department of Bacteriology and Virology # Department of Microbiology and Virology # Cancer Research Center
32349772,Neonatal Intensive Care Unit # Division of Neonatology
32321540,Division of Pediatric Immunology and Rheumatology # AOU Meyer # Department of Medical Biotechnology # Division of Clinical Rheumatology # Department of Clinical Sciences and Community Health
32408118,Institute of Liver # Dr. Baba Saheb Ambedkar Medical College and Hospital
