PMID,ADDRESS
32337113,USA
32132521,China
32141569,Maldives
32156224,Maldives
32389849,China
32774178,Iran
32070465,France
32348588,Italy
32050080,Italy
32340833,Indonesia
32744561,France
32096567,China
32134278,Thailand
32147496,France
32234466,China
32609256,Brazil
32190290,Hong Kong
32188753,USA
32074480,USA
32473642,India
32126197,India
32292590,Iran
32283152,China
32052514,Germany
32104915,China
32238757,Korea
32169119,China
32272396,Iran
32166607,India
32315723,China
32298767,China
32202343,Sweden
32617354,United Kingdom
32098616,United Kingdom
32226003,Mexico
32352836,
32570023,Italy
32579875,Italy
32147628,China
32798514,Iran
32531620,USA
32394467,Iran
32349772,Italy
32321540,Italy
32408118,India
32106567,China
32139372,UK
32729549,USA
32495923,India
32171740,France
32074550,China
32205349,China
32107119,China
32173241,Taiwan
32365180,China
32092748,Japan
32171952,China
32264802,China
32081636,Taiwan
32142596,Germany
32506725,Brazil
32192424,Brazil
32515386,Ghana
32330274,China
32309622,China
32983152,Iran
32293168,Korea
32374007,China
32205204,France
32453685,France
32238232,China
32253172,Egypt
32623723,Italy
32934351,Italy
32212512,China
32290293,Taiwan
32287039,Qatar
32620220,
32286947,China
32267987,Iran
32362642,India
32490022,Iran
32374001,Iran
32160889,China
32311437,China
32237901,Iran
32245396,China
32291112,UK
32568687,USA
32985201,USA
32412918,USA
32297988,India
32324531,India
32303424,China
32291376,Indonesia
33143597,Australia
32020915,Iran
32316270,Italy
32178954,China
32156648,Italy
32124990,Bangladesh
32223725,Bangladesh
32452539,Iran
32677821,China
32107577,China
31996494,China
32147731,Canada
32343122,Pakistan
32344310,USA
32600222,USA
32184131,Taiwan
32574299,India
32953365,USA
32968602,CAN
32268855,CAN
32298676,Italy
32072569,China
32249063,China
32092911,Singapore
32265149,Singapore
32268644,China
32209231,USA
32398954,China
32171191,China
32373339,China
32522141,China
32303497,UK
32291373,Indonesia
32870978,Colombia
32450198,South Africa
32517645,South Africa
32152082,Spain
32391578,India
32658868,China
32235575,China
32371230,Bangladesh
32553841,Taiwan
32015507,China
32123347,China
32232976,China
32056249,China
32664828,China
32035431,Korea
31991541,USA
32298745,China
32376714,South Africa
32552623,South Africa
32226288,China
32065057,China
32259477,Korea
32340531,USA
33041814,Bangladesh
32765482,Korea
32247050,China
32829699,China
32007627,USA
32389723,China
32023775,Korea
32109444,China
32754570,Saudi Arabia
32065055,China
32353474,USA
32389025,USA
32053148,
32353252,USA
32027036,Italy
32470223,USA
32277387,China
32301745,China
32203189,USA
32335749,Netherlands
32164080,China
32674929,Netherlands
32087334,China
32291365,Indonesia
32050635,Georgia
31996437,USA
32595947,India
32778874,Bangladesh
32793544,United States
