PMID,FAU
32337113,"Valencia, Damian N"
32132521,"Xiao, Han # Zhang, Yan # Kong, Desheng # Li, Shiyue # Yang, Ningxi"
32141569,"Kannan, S # Shaik Syed Ali, P # Sheeza, A # Hemalatha, K"
32389849,"Zhou, Meng # Xie, Xiao # Peng, Yong # Wu, Meng # Deng, Xiao # Wu, Ying # Xiong, Li # Shang, Li"
32774178,"Esakandari, Hanie # Nabi # Fakkari # Farahmandian, Navid # Miresmaeili, Seyed # Bahreini, Elham"
32070465,"Bernard Stoecklin, Sibylle # Rolland, Patrick # Silue, Yassoungo # Mailles, Alexandra # Campese, Christine # Simondon, Anne # Mechain, Matthieu # Meurice, Laure # Nguyen, Mathieu # Bassi, Clément # Yamani, Estelle # Behillil, Sylvie # Ismael, Sophie # Nguyen, Duc # Malvy, Denis # Lescure, François Xavier # Georges, Scarlett # Lazarus, Clément # Tabaï, Anouk # Stempfelet, Morgane # Enouf, Vincent # Coignard, Bruno # Levy"
32348588,"Pascarella, Giuseppe # Strumia, Alessandro # Piliego, Chiara # Bruno, Federica # Del Buono, Romualdo # Costa, Fabio # Scarlata, Simone # Agrò, Felice Eugenio"
32340833,"Harapan, Harapan # Itoh, Naoya # Yufika, Amanda # Winardi, Wira # Keam, Synat # Te, Haypheng # Megawati, Dewi # Hayati, Zinatul # Wagner, Abram L # Mudatsir, Mudatsir"
32744561,"Vellas, C # Delobel, P # de Souto Barreto, P # Izopet, J"
32096567,"Sun, Pengfei # Lu, Xiaosheng # Xu, Chao # Sun, Wenjuan # Pan, Bo"
32134278,"Shanmugaraj, Balamurugan # Siriwattananon, Konlavat # Wangkanont, Kittikhun # Phoolcharoen, Waranyoo"
32147496,"Touret, Franck # de Lamballerie, Xavier"
32234466,"Li, Heng # Liu, Shang # Yu, Xiao # Tang, Shi # Tang, Chao"
32609256,"Oliveira, Beatriz Araujo # Oliveira, Lea Campos de # Sabino, Ester Cerdeira # Okay, Thelma Suely"
