Word,NOO
severe,6518
acute,5077
respiratory,6882
syndrome,4570
coronavirus,9348
2,4485
sarscov2,18130
disease,7972
2019,4274
covid19,19740
first,1582
identified,1219
wuhan,1266
hubei,300
china,1958
december,883
since,916
declared,359
pandemic,4667
world,1598
health,3567
organization,532
march,1032
2020,2987
study,3041
will,1424
provide,1142
review,2074
viral,3456
origin,237
identification,334
symptoms,2509
transmission,2530
diagnosis,1321
potential,2138
treatment,3083
strategies,886
newly,191
strain,192
,10384
background,1170
known,889
acuterespiratory,263
novel,2282
2019ncov,1286
city,324
structural,321
analysis,1355
method,471
determine,356
relationship,218
between,2170
measured,131
variables,122
observational,168
aimed,404
use,1473
effects,858
social,620
support,538
quality,300
function,400
medical,1090
staff,471
treated,345
patients,12574
january,558
february,543
material,159
methods,2123
crosssectional,120
included,930
infection,6959
levels,940
anxiety,142
stress,207
using,1768
scale,144
general,545
reaction,571
questionnaire,118
index,212
rate,1332
respectively,685
correlation,266
interactions,319
factors,930
results,3586
significantly,770
associated,1811
conclusions,1119
showed,1174
treating,204
although,848
should,1541
prevent,618
global,1417
spread,1997
virus,4243
earlier,116
12,398
reported,1959
cases,4177
deaths,792
related,915
similar,638
sarscov,1161
pathogenicity,107
clinical,4936
spectrum,174
epidemiology,266
comparison,188
genome,505
sequences,300
middle,423
east,400
merscov,547
better,475
sequence,363
compared,1135
mers,303
cov,352
however,1660
amino,155
acid,696
coronaviruses,954
specifically,180
regions,389
surface,323
glycoprotein,209
several,1043
animals,235
no,1917
animal,342
already,266
confirmed,1437
causes,469
studies,2280
suggest,570
human,1855
receptor,959
may,3522
angiotensinconverting,432
enzyme,674
ace2,1789
nucleocapsid,147
n,429
protein,1529
90,131
antibodies,1012
but,1815
play,249
important,941
role,1038
rna,1508
host,988
aims,308
most,1923
recent,735
trend,111
epidemiological,535
report,1005
australia,108
time,1444
7,390
includes,122
data,2570
diagnosed,460
international,463
situation,292
current,1606
evidence,1477
introduction,288
both,1367
appeared,113
certain,152
biological,265
pathological,167
similarities,111
date,424
research,1059
shown,428
genes,309
receptorbinding,109
domain,298
structure,327
very,493
extensive,148
performed,1028
sars,788
understanding,680
impact,776
still,644
limited,602
upon,176
lessons,108
terms,293
characteristics,856
pathogenesis,482
further,1093
understand,399
features,681
two,1472
diseases,1017
found,1220
family,401
higher,1184
morbidity,342
mortality,1307
newborns,130
asymptomatic,1082
children,1075
normal,280
chest,558
imaging,424
emerged,447
literature,757
gastrointestinal,299
progress,174
conditions,577
mothers,159
infected,1797
could,1552
complications,708
laboratory,945
test,1367
percentage,124
level,591
number,1421
cd4,111
decreased,265
conclusion,895
based,1272
early,1189
observations,103
some,1257
recommendations,461
contain,165
named,293
syndromecoronavirus,270
unknown,348
province,344
epidemic,939
caused,2104
called,215
presence,566
ranging,126
illness,622
death,746
public,1301
emergency,911
concern,351
quickly,213
control,1410
such,1822
highly,748
infectious,811
individuals,917
isolated,198
procedures,483
developed,839
through,1060
outbreak,1886
researchers,177
around,496
develop,580
rapid,948
vaccines,805
far,290
specific,974
antiviral,1148
vaccine,1121
approved,330
present,1317
available,1408
drugs,1577
improve,305
supportive,141
care,2088
including,1904
oxygen,234
mechanical,289
ventilation,381
used,1579
due,1185
worldwide,1069
become,488
serious,314
community,576
according,426
increased,1044
june,176
given,428
high,1834
economic,202
damage,461
various,625
communities,102
great,197
efforts,368
must,335
made,270
successful,137
against,1850
pathways,265
well,1227
thus,607
main,690
purpose,303
overview,165
cluster,237
infections,1396
25,302
countries,1144
surveillance,352
implemented,254
10,561
order,496
identify,653
imported,105
secondary,324
three,888
risk,2589
exposure,544
followup,258
procedure,141
defined,183
contacts,298
24,291
europe,147
contact,734
tracing,126
five,328
evaluated,509
low,695
18,283
discharged,202
third,179
one,1379
remains,351
symptomatic,427
cough,528
effective,1309
involved,355
response,1336
emerging,484
required,519
detect,278
adequate,166
measures,1188
same,357
leading,340
presents,165
highrisk,183
here,1024
options,285
carried,204
out,637
systematic,334
search,404
online,186
databases,222
pubmed,313
google,113
embase,130
web,137
science,216
following,471
publications,146
1,1148
3,815
april,608
focused,171
treatments,541
transmitted,199
environmental,287
surfaces,219
hand,199
hygiene,129
contamination,137
personal,348
protective,595
equipment,351
recommended,300
fever,760
fatigue,168
throat,244
headache,185
conjunctivitis,105
issues,157
realtime,391
pcr,635
diagnostic,888
tool,236
nasal,280
swab,515
samples,1463
computed,230
tomography,236
findings,1281
any,542
therapies,467
being,792
treat,350
therapy,884
many,971
proposed,316
quarantine,321
only,1092
intervention,251
appears,153
designed,210
randomized,158
trials,780
needed,596
appropriate,338
second,260
8,257
week,226
information,858
severity,881
occurred,308
30,345
14,409
laboratoryconfirmed,144
globally,334
led,294
variety,119
conducted,484
summarize,245
knowledge,658
pathogen,233
causative,203
agent,336
immune,1427
responses,587
management,1158
reviewed,361
new,1724
rapidly,821
causing,431
older,366
adults,376
peak,173
load,284
especially,601
those,1109
comorbidities,501
fatality,248
rates,519
younger,101
perspective,144
paper,315
people,1034
affected,626
discuss,510
possibility,249
processes,138
allow,140
finally,256
propose,236
approaches,386
field,132
series,341
pneumonia,1526
11,431
spreading,303
over,851
published,521
providing,210
reference,203
future,610
help,565
prevention,754
last,211
lifethreatening,118
recently,472
condition,233
emergence,338
pathogenic,273
humans,502
poses,119
significant,1023
threat,301
even,493
therapeutic,1074
agents,447
highlights,191
urgent,402
need,1023
prophylaxis,103
epidemics,177
genetic,304
hence,162
might,744
scientific,436
monoclonal,114
represent,168
major,650
fight,142
recognized,155
antibody,692
considering,194
existing,297
neutralizing,209
targets,403
antivirals,183
attention,335
possible,1057
benefit,150
chloroquine,243
drug,1041
consider,162
light,153
previous,417
originated,107
previously,335
large,467
thousands,119
clinically,225
intensive,539
urgently,186
mechanisms,741
contribute,238
development,1209
focus,273
regarding,609
initially,171
currently,984
affecting,186
seven,243
million,390
history,469
patient,1801
standard,396
detection,1308
amplification,147
nucleic,485
quantitative,171
polymerase,515
chain,564
rtpcr,917
described,393
involving,136
describe,555
alternative,210
tests,1024
ongoing,597
highlight,231
nine,134
questions,196
concerning,121
shedding,237
late,310
across,594
months,347
viruses,953
they,746
cause,622
state,365
now,498
15,410
29,185
cytokine,607
storm,404
complex,248
shows,196
closely,145
article,569
reviews,111
occurrence,124
mechanism,398
inflammatory,684
valuable,104
guidance,173
another,167
symptom,408
distress,514
admitted,454
additionally,200
signs,292
increasing,403
tract,424
central,334
nervous,252
system,1431
neurological,590
experimental,230
furthermore,321
demonstrated,408
able,194
via,471
route,180
center,270
lung,1091
lower,656
make,175
clear,184
whether,453
responsible,353
failure,590
significance,119
likely,621
zoonotic,170
like,292
within,728
few,419
loss,282
kits,124
repurposing,213
therapeutics,276
addition,582
status,391
throughout,227
received,272
into,1118
population,1061
total,915
outside,149
independent,155
groups,530
bat,161
natural,349
uses,102
mainly,378
importantly,111
humantohuman,108
along,267
globe,176
include,441
small,304
elderly,234
underlying,422
susceptible,206
outcomes,906
ards,317
potent,148
candidates,219
repurposed,104
under,556
investigation,265
summarized,127
latest,109
discussed,287
combat,158
raised,114
types,249
evaluate,451
experience,387
scopus,101
suitable,129
relevant,318
protocol,268
extraction,133
articles,405
criteria,275
done,106
option,106
bats,136
yet,366
droplets,256
incubation,165
period,807
d,225
among,1620
others,167
mild,799
organ,282
dysfunction,358
case,2025
estimated,248
range,472
special,155
molecular,866
common,932
white,112
cell,1002
counts,132
elevated,298
creactive,156
crp,148
abnormal,152
established,280
home,219
isolation,461
suspected,476
strict,141
hospitals,376
precautions,129
represents,144
potentially,416
fatal,157
importance,424
26,198
resulted,279
considerable,108
challenges,382
seen,223
decrease,222
determined,235
discusses,101
aid,103
liver,501
abnormalities,171
records,138
obtained,399
hospital,1339
21,254
followed,323
collected,665
injury,661
